E0_GPa_mm_minus_k,a_mm,h_mm,p0_MPa,p0_GPa,severity_index,a_over_D
42.6625,0.648369850396801,0.0589952261530863,3971.83679977458,3.97183679977458,0.340346200358706,0.0681060767223531
43.0912688442211,0.646518408921528,0.0586587815791842,3994.61775266405,3.99461775266405,0.342298297372592,0.0679115975757908
43.5200376884422,0.644690507492491,0.0583275585415826,4017.30187418701,4.01730187418701,0.34424209691875,0.0677195911231609
43.9488065326633,0.642885619273584,0.0580014257462795,4039.89052391324,4.03989052391324,0.346177715498545,0.0675300020245361
44.3775753768844,0.641103234213207,0.0576802564398592,4062.38502927197,4.06238502927197,0.348105266859221,0.0673427767030679
44.8063442211055,0.639342858353491,0.0573639282104281,4084.78668661425,4.08478668661425,0.35002486208494,0.0671578632724255
45.2351130653266,0.637604013174245,0.057052322799086,4107.09676223045,4.10709676223045,0.351936609683965,0.0669752114678829
45.6638819095477,0.63588623496958,0.0567453259212807,4129.31649332509,4.12931649332509,0.353840615672198,0.0667947725808383
46.0926507537688,0.634189074255286,0.0564428270974409,4151.44708895129,4.15144708895129,0.355736983653249,0.0666164993965637
46.52141959799,0.632512095205178,0.0561447194923242,4173.4897309067,4.1734897309067,0.357625814895212,0.0664403461349977
46.9501884422111,0.630854875114742,0.0558508997625555,4195.44557459303,4.19544557459303,0.359507208404315,0.0662662683944057
47.3789572864322,0.629217003890523,0.0555612679118694,4217.31574984082,4.21731574984082,0.361381260995596,0.066094223097744
47.8077261306533,0.627598083563796,0.0552757271535998,4239.10136170126,4.23910136170126,0.363248067360755,0.0659241684415752
48.2364949748744,0.625997727827162,0.0549941837799928,4260.80349120663,4.26080349120663,0.365107720133312,0.065756063847391
48.6652638190955,0.6244155615928,0.0547165470379487,4282.4231961008,4.2824231961008,0.366960309951208,0.0655898699152101
49.0940326633166,0.622851220571165,0.0544427290108215,4303.96151154137,4.30396151154137,0.368805925516969,0.0654255483793241
49.5228015075377,0.621304350869041,0.0541726445059307,4325.41945077463,4.32541945077463,0.370644653655542,0.0652630620660758
49.9515703517588,0.619774608605878,0.0539062109474649,4346.79800578474,4.34679800578474,0.372476579369928,0.0651023748535587
50.3803391959799,0.618261659547449,0.0536433482744713,4368.09814791826,4.36809814791826,0.374301785894692,0.0649434516331354
50.809108040201,0.616765178755891,0.0533839788436517,4389.32082848517,4.38932082848517,0.376120354747466,0.0647862582726776
51.2378768844221,0.615284850255282,0.0531280273366993,4410.4669793375,4.4104669793375,0.377932365778537,0.0646307615814372
51.6666457286432,0.613820366711924,0.0528754206719266,4431.53751342654,4.43153751342654,0.379737897218585,0.0644769292764626
52.0954145728643,0.612371429128582,0.052626087919955,4452.53332533962,4.45253332533962,0.381537025724687,0.0643247299504813
52.5241834170854,0.610937746551951,0.0523799602232442,4473.45529181731,4.47345529181731,0.383329826424636,0.0641741330411713
52.9529522613065,0.609519035792686,0.05213697071926,4494.30427225209,4.49430427225209,0.385116372959662,0.0640251088017527
53.3817211055276,0.608115021157349,0.0518970544670859,4515.08110916896,4.51508110916896,0.386896737525631,0.0638776282728308
53.8104899497487,0.606725434191683,0.0516601483772988,4535.7866286892,4.5357866286892,0.388670990912771,0.0637316632554289
54.2392587939699,0.605350013434635,0.0514261911449387,4556.42164097766,4.55642164097766,0.390439202544006,0.0635871862851507
54.668027638191,0.60398850418262,0.0511951231854126,4576.98694067443,4.57698694067443,0.392201440511949,0.063444170607418
55.0967964824121,0.602640658263495,0.0509668865731826,4597.48330731163,4.59748330731163,0.393957771614608,0.0633025901537285
55.5255653266332,0.601306233819797,0.0507414249830962,4617.91150571574,4.61791150571574,0.39570826138987,0.0631624195188863
55.9543341708543,0.599984995100775,0.0505186836342259,4638.2722863963,4.6382722863963,0.397452974148802,0.063023633939157
56.3831030150754,0.59867671226281,0.0502986092360922,4658.56638592135,4.65856638592135,0.39919197300783,0.0628862092713035
56.8118718592965,0.597381161177821,0.0500811499371518,4678.79452728034,4.67879452728034,0.400925319919829,0.0627501219724602
57.2406407035176,0.596098123249272,0.0498662552754395,4698.95742023486,4.69895742023486,0.40265307570418,0.0626153490808059
57.6694095477387,0.594827385235434,0.0496538761312575,4719.05576165778,4.71905576165778,0.404375300075834,0.0624818681969994
58.0981783919598,0.593568739079557,0.0494439646818139,4739.09023586124,4.73909023586124,0.406092051673411,0.06234965746634
58.5269472361809,0.592321981746636,0.0492364743577158,4759.06151491394,4.75906151491394,0.407803388086397,0.0622186955616215
58.955716080402,0.591086915066475,0.0490313598012274,4778.97025894817,4.77897025894817,0.409509365881444,0.0620889616666465
59.3844849246231,0.589863345582744,0.0488285768262109,4798.81711645692,4.79881711645692,0.411210040627835,0.0619604354603722
59.8132537688442,0.588651084407783,0.0486280823796696,4818.60272458155,4.81860272458155,0.412905466922135,0.0618330971016579
60.2420226130653,0.587449947082878,0.0484298345048186,4838.32770939034,4.83832770939034,0.414595698412055,0.061706927214588
60.6707914572864,0.586259753443762,0.0482337923056114,4857.99268614822,4.85799268614822,0.416280787819572,0.0615819068743448
61.0995603015075,0.585080327491133,0.0480399159126561,4877.59825957815,4.87759825957815,0.417960786963321,0.0614580175936064
61.5283291457286,0.58391149726594,0.0478481664504573,4897.14502411435,4.89714502411435,0.419635746780295,0.0613352413094475
61.9570979899498,0.582753094729251,0.0476585060059221,4916.63356414772,4.91663356414772,0.421305717346878,0.0612135603707197
62.3858668341709,0.581604955646491,0.0474708975980753,4936.06445426372,4.93606445426372,0.422970747899227,0.0610929575258919
62.814635678392,0.580466919475871,0.0472853051489264,4955.43825947315,4.95543825947315,0.424630886853046,0.060973415911331
63.2434045226131,0.579338829260823,0.0471016934554405,4974.75553543579,4.97475553543579,0.426286181822754,0.0608549190400025
