depth_mm,elastic_modulus_GPa
0,254
0.00440881763527054,259.758434060822
0.00881763527054108,262.1267388859
0.0132264529058116,263.941082128342
0.0176352705410822,265.46907027536
0.0220440881763527,266.81422927742
0.0264529058116233,268.029609065071
0.0308617234468938,269.146703497967
0.0352705410821643,270.186021825973
0.0396793587174349,271.161803510924
0.0440881763527054,272.084412231124
0.048496993987976,272.961669066503
0.0529058116232465,273.799648366002
0.057314629258517,274.603179405594
0.0617234468937876,275.376176753955
0.0661322645290581,276.121865825456
0.0705410821643287,276.842941603881
0.0749498997995992,277.541683251841
0.0793587174348697,278.220038724293
0.0837675350701403,278.879688456582
0.0881763527054108,279.52209412403
0.0925851703406814,280.148536539019
0.0969939879759519,280.760145504266
0.101402805611222,281.357923615335
0.105811623246493,281.942765446925
0.110220440881764,282.515473172035
0.114629258517034,283.07676939253
0.119038076152305,283.627307766412
0.123446893787575,284.167681877291
0.127855711422846,284.698432688823
0.132264529058116,285.220054850595
0.136673346693387,285.733002064615
0.141082164328657,286.237691677953
0.145490981963928,286.734508633697
0.149899799599198,287.223808886503
0.154308617234469,287.705922368825
0.158717434869739,288.181155578018
0.16312625250501,288.6497938419
0.167535070140281,289.112103310309
0.171943887775551,289.568332712094
0.176352705410822,290.018714910446
0.180761523046092,290.463468284152
0.185170340681363,290.902797958008
0.189579158316633,291.336896902045
0.193987975951904,291.765946916272
0.198396793587174,292.190119515171
0.202805611222445,292.609576724143
0.207214428857715,293.024471798393
0.211623246492986,293.43494987328
0.216032064128257,293.841148553951
0.220440881763527,294.243198451062
0.224849699398798,294.641223668464
0.229258517034068,295.035342248043
0.233667334669339,295.425666576201
0.238076152304609,295.812303755971
0.24248496993988,296.195355948222
0.24689378757515,296.57492068506
0.251302605210421,296.95109115813
0.255711422845691,297.323956484243
0.260120240480962,297.693601950458
0.264529058116232,298.060109240539
0.268937875751503,298.423556644479
0.273346693386774,298.784019252629
0.277755511022044,299.141569135766
0.282164328657315,299.496275512352
0.286573146292585,299.848204904065
0.290981963927856,300.19742128059
0.295390781563126,300.543986194576
0.299799599198397,300.887958907549
0.304208416833667,301.229396507517
0.308617234468938,301.568354018932
0.313026052104208,301.904884505592
0.317434869739479,302.239039167051
0.32184368737475,302.570867429012
0.32625250501002,302.900417028164
0.330661322645291,303.227734091874
0.335070140280561,303.552863213109
0.339478957915832,303.875847520934
0.343887775551102,304.196728746901
0.348296593186373,304.515547287613
0.352705410821643,304.832342263737
0.357114228456914,305.147151575705
0.361523046092184,305.460011956323
0.365931863727455,305.770959020509
0.370340681362725,306.080027312328
0.374749498997996,306.387250349525
0.379158316633267,306.692660665697
0.383567134268537,306.996289850266
0.387975951903808,307.29816858639
0.392384769539078,307.598326686939
0.396793587174349,307.896793128651
0.401202404809619,308.193596084595
0.40561122244489,308.488762955017
0.41002004008016,308.782320396693
0.414428857715431,309.074294350856
0.418837675350701,309.364710069795
0.423246492985972,309.653592142192
0.427655310621243,309.940964517274
0.432064128256513,310.226850527849
0.436472945891784,310.511272912283
0.440881763527054,310.794253835486
0.445290581162325,311.075814908944
0.449699398797595,311.355977209873
0.454108216432866,311.63476129952
0.458517034068136,311.912187240671
0.462925851703407,312.188274614398
0.467334669338677,312.463042536096
0.471743486973948,312.736509670835
0.476152304609218,313.008694248069
0.480561122244489,313.279614075732
0.48496993987976,313.549286553757
0.48937875751503,313.817728687037
0.493787575150301,314.084957097866
0.498196392785571,314.350988037878
0.502605210420842,314.615837399514
0.507014028056112,314.879520727034
0.511422845691383,315.142053227102
0.515831663326653,315.403449778957
0.520240480961924,315.663724944197
0.524649298597194,315.922892976188
0.529058116232465,316.18096782912
0.533466933867736,316.437963166722
0.537875751503006,316.693892370651
0.542284569138277,316.948768548581
0.546693386773547,317.202604541985
0.551102204408818,317.455412933641
0.555511022044088,317.70720605487
0.559919839679359,317.95799599251
0.564328657314629,318.207794595649
0.5687374749499,318.456613482118
0.57314629258517,318.704464044758
0.577555110220441,318.951357457473
0.581963927855711,319.197304681071
0.586372745490982,319.44231646891
0.590781563126253,319.686403372352
0.595190380761523,319.929575746035
0.599599198396794,320.171843752963
0.604008016032064,320.41321736944
0.608416833667335,320.65370638983
0.612825651302605,320.89332043117
0.617234468937876,321.132068937631
0.621643286573146,321.369961184832
0.626052104208417,321.607006284025
0.630460921843687,321.84321318614
0.634869739478958,322.078590685705
0.639278557114228,322.313147424647
0.643687374749499,322.546891895971
0.64809619238477,322.779832447325
0.65250501002004,323.011977284459
0.656913827655311,323.243334474582
0.661322645290581,323.473911949608
0.665731462925852,323.703717509313
0.670140280561122,323.932758824396
0.674549098196393,324.161043439446
0.678957915831663,324.38857877583
0.683366733466934,324.615372134485
0.687775551102204,324.841430698641
0.692184368737475,325.066761536454
0.696593186372746,325.291371603578
0.701002004008016,325.515267745646
0.705410821643287,325.738456700695
0.709819639278557,325.96094510152
0.714228456913828,326.182739477955
0.718637274549098,326.4038462591
0.723046092184369,326.624271775481
0.727454909819639,326.844022261153
0.73186372745491,327.063103855745
0.73627254509018,327.281522606448
0.740681362725451,327.499284469953
0.745090180360721,327.716395314336
0.749498997995992,327.932860920888
0.753907815631263,328.148686985907
0.758316633266533,328.363879122429
0.762725450901804,328.57844286193
0.767134268537074,328.792383655965
0.771543086172345,329.005706877786
0.775951903807615,329.218417823896
0.780360721442886,329.430521715584
0.784769539078156,329.642023700404
0.789178356713427,329.852928853629
0.793587174348698,330.063242179661
0.797995991983968,330.272968613411
0.802404809619239,330.482113021637
0.806813627254509,330.69068020426
0.81122244488978,330.898674895638
0.81563126252505,331.106101765813
0.820040080160321,331.312965421728
0.824448897795591,331.519270408413
0.828857715430862,331.725021210143
0.833266533066132,331.930222251571
0.837675350701403,332.134877898828
0.842084168336673,332.338992460604
0.846492985971944,332.542570189196
0.850901803607214,332.74561528154
0.855310621242485,332.948131880212
0.859719438877756,333.150124074408
0.864128256513026,333.351595900904
0.868537074148297,333.552551344989
0.872945891783567,333.752994341381
0.877354709418838,333.952928775121
0.881763527054108,334.152358482443
0.886172344689379,334.351287251632
0.890581162324649,334.549718823859
0.89498997995992,334.74765689399
0.89939879759519,334.945105111393
0.903807615230461,335.142067080714
0.908216432865732,335.338546362639
0.912625250501002,335.534546474643
0.917034068136273,335.730070891719
0.921442885771543,335.925123047096
0.925851703406814,336.119706332931
0.930260521042084,336.313824101
0.934669338677355,336.507479663367
0.939078156312625,336.700676293035
0.943486973947896,336.893417224591
0.947895791583166,337.085705654834
0.952304609218437,337.277544743389
0.956713426853708,337.468937613311
0.961122244488978,337.659887351671
0.965531062124249,337.850397010137
0.969939879759519,338.04046960554
0.97434869739479,338.230108120423
0.97875751503006,338.419315503591
0.983166332665331,338.608094670636
0.987575150300601,338.796448504466
0.991983967935872,338.984379855805
0.996392785571142,339.171891543704
1.00080160320641,339.358986356024
1.00521042084168,339.545667049923
1.00961923847695,339.731936352319
1.01402805611222,339.917796960362
1.0184368737475,340.103251541877
1.02284569138277,340.288302735818
1.02725450901804,340.472953152693
1.03166332665331,340.657205375001
1.03607214428858,340.841061957644
1.04048096192385,341.024525428343
1.04488977955912,341.207598288036
1.04929859719439,341.390283011276
1.05370741482966,341.572582046621
1.05811623246493,341.75449781701
1.0625250501002,341.936032720142
1.06693386773547,342.117189128836
1.07134268537074,342.297969391397
1.07575150300601,342.478375831964
1.08016032064128,342.658410750863
1.08456913827655,342.838076424938
1.08897795591182,343.017375107892
1.09338677354709,343.196309030616
1.09779559118236,343.374880401502
1.10220440881764,343.553091406771
1.10661322645291,343.730944210772
1.11102204408818,343.908440956297
1.11543086172345,344.085583764873
1.11983967935872,344.262374737059
1.12424849699399,344.438815952735
1.12865731462926,344.614909471387
1.13306613226453,344.790657332381
1.1374749498998,344.966061555244
1.14188376753507,345.141124139927
1.14629258517034,345.315847067074
1.15070140280561,345.490232298276
1.15511022044088,345.664281776335
1.15951903807615,345.837997425506
1.16392785571142,346.011381151751
1.16833667334669,346.184434842978
1.17274549098196,346.357160369279
1.17715430861723,346.529559583166
1.18156312625251,346.7016343198
1.18597194388778,346.87338639722
1.19038076152305,347.044817616562
1.19478957915832,347.215929762283
1.19919839679359,347.386724602371
1.20360721442886,347.55720388856
1.20801603206413,347.727369356541
1.2124248496994,347.897222726159
1.21683366733467,348.066765701623
1.22124248496994,348.235999971699
1.22565130260521,348.404927209908
1.23006012024048,348.573549074717
1.23446893787575,348.741867209726
1.23887775551102,348.909883243857
1.24328657314629,349.077598791535
1.24769539078156,349.245015452868
1.25210420841683,349.412134813824
1.2565130260521,349.578958446407
1.26092184368737,349.745487908825
1.26533066132265,349.911724745662
1.26973947895792,350.077670488043
1.27414829659319,350.243326653798
1.27855711422846,350.408694747622
1.28296593186373,350.573776261233
1.287374749499,350.738572673531
1.29178356713427,350.90308545075
1.29619238476954,351.067316046607
1.30060120240481,351.231265902455
1.30501002004008,351.394936447427
1.30941883767535,351.558329098582
1.31382765531062,351.721445261046
1.31823647294589,351.884286328154
1.32264529058116,352.046853681585
1.32705410821643,352.2091486915
1.3314629258517,352.371172716677
1.33587174348697,352.532927104642
1.34028056112224,352.694413191796
1.34468937875751,352.855632303548
1.34909819639279,353.016585754438
1.35350701402806,353.177274848264
1.35791583166333,353.337700878199
1.3623246492986,353.497865126918
1.36673346693387,353.657768866714
1.37114228456914,353.817413359616
1.37555110220441,353.976799857502
1.37995991983968,354.135929602218
