k,a_mm,p0_MPa,p0_GPa,pressure_severity_index,crack_suppression_indicator
0.01,0.431498585402739,7718.78829103427,7.71878829103427,0.661422006658452,0.338577993341548
0.0139357429718876,0.432007996904647,7710.66443212873,7.71066443212873,0.66072587420132,0.33927412579868
0.0178714859437751,0.432521251797309,7702.42051918331,7.70242051918331,0.660019454328475,0.339980545671525
0.0218072289156627,0.433038357674827,7694.05715587851,7.69405715587851,0.659302798769221,0.340697201230779
0.0257429718875502,0.433559322617455,7685.57493599498,7.68557493599498,0.658575958404548,0.341424041595452
0.0296787148594378,0.434084155192391,7676.97444349362,7.67697444349362,0.657838983273994,0.342161016726006
0.0336144578313253,0.43461286445474,7668.25625259351,7.66825625259351,0.657091922582321,0.342908077417679
0.0375502008032128,0.435145459948671,7659.42092784766,7.65942092784766,0.656334824706005,0.343665175293995
0.0414859437751004,0.435681951708757,7650.46902421657,7.65046902421657,0.655567737199541,0.344432262800459
0.045421686746988,0.4362223502615,7641.40108713962,7.64140108713962,0.654790706801563,0.345209293198437
0.0493574297188755,0.436766666627043,7632.21765260439,7.6322176526044,0.65400377944078,0.34599622055922
0.0532931726907631,0.43731491232107,7622.9192472138,7.6229192472138,0.65320700024173,0.34679299975827
0.0572289156626506,0.437867099356897,7613.50638825109,7.61350638825109,0.652400413530349,0.347599586469651
0.0611646586345382,0.438423240247749,7603.97958374281,7.60397958374281,0.65158406283937,0.34841593716063
0.0651004016064257,0.438983348009235,7594.33933251958,7.59433933251958,0.650757990913525,0.349242009086475
0.0690361445783133,0.43954743616201,7584.58612427488,7.58458612427488,0.649922239714589,0.350077760285411
0.0729718875502008,0.440115518734633,7574.72043962167,7.57472043962167,0.649076850426226,0.350923149573774
0.0769076305220883,0.440687610266626,7564.74275014696,7.56474275014696,0.648221863458667,0.351778136541333
0.0808433734939759,0.441263725811727,7554.65351846436,7.55465351846436,0.647357318453216,0.352642681546784
0.0847791164658634,0.441843880941346,7544.45319826448,7.54445319826448,0.646483254286565,0.353516745713435
0.088714859437751,0.44242809174822,7534.14223436337,7.53414223436337,0.645599709074944,0.354400290925056
0.0926506024096385,0.443016374850284,7523.72106274879,7.52372106274879,0.644706720178092,0.355293279821908
0.0965863453815261,0.443608747394736,7513.19011062457,7.51319011062457,0.64380432420305,0.35619567579695
0.100522088353414,0.444205227062325,7502.54979645277,7.50254979645277,0.642892557007782,0.357107442992218
0.104457831325301,0.444805832071843,7491.80052999391,7.49180052999391,0.641971453704614,0.358028546295386
0.108393574297189,0.445410581184846,7480.94271234507,7.48094271234507,0.641041048663506,0.358958951336494
0.112329317269076,0.446019493710579,7469.97673597603,7.46997673597603,0.640101375515143,0.359898624484857
0.116265060240964,0.446632589511144,7458.90298476322,7.45890298476322,0.63915246715385,0.36084753284615
0.120200803212851,0.447249889006874,7447.72183402177,7.44772183402177,0.638194355740332,0.361805644259668
0.124136546184739,0.44787141318196,7436.43365053538,7.43643365053538,0.637227072704241,0.362772927295759
0.128072289156626,0.448497183590296,7425.03879258421,7.42503879258421,0.636250648746558,0.363749351253442
0.132008032128514,0.449127222361574,7413.53760997065,7.41353760997065,0.635265113841806,0.364734886158194
0.135943775100402,0.449761552207614,7401.93044404302,7.40193044404302,0.63427049724008,0.36572950275992
0.139879518072289,0.450400196428957,7390.21762771723,7.39021762771723,0.633266827468903,0.366733172531097
0.143815261044177,0.45104317892169,7378.39948549629,7.37839948549629,0.632254132334898,0.367745867665102
0.147751004016064,0.451690524184555,7366.47633348775,7.36647633348775,0.63123243892528,0.36876756107472
0.151686746987952,0.452342257326298,7354.44847941902,7.35444847941902,0.630201773609174,0.369798226390826
0.155622489959839,0.452998404073305,7342.31622265056,7.34231622265056,0.629162162038741,0.370837837961259
0.159558232931727,0.453658990777502,7330.07985418699,7.33007985418699,0.628113629150127,0.371886370849873
0.163493975903614,0.454324044424545,7317.73965668588,7.31773965668588,0.627056199164229,0.372943800835771
0.167429718875502,0.45499359264229,7305.29590446463,7.30529590446463,0.625989895587267,0.374010104412733
0.17136546184739,0.455667663709562,7292.74886350489,7.29274886350489,0.624914741211177,0.375085258788823
0.175301204819277,0.456346286565226,7280.098791455,7.280098791455,0.623830758113813,0.376169241886187
0.179236947791165,0.457029490817557,7267.34593763011,7.26734593763011,0.622737967658959,0.377262032341041
0.183172690763052,0.457717306753943,7254.49054300997,7.25449054300997,0.62163639049614,0.37836360950386
0.18710843373494,0.45840976535089,7241.53284023466,7.24153284023466,0.620526046560255,0.379473953439745
0.191044176706827,0.459106898284379,7228.47305359789,7.22847305359789,0.619406955071004,0.380593044928996
0.194979919678715,0.459808737940546,7215.31139903796,7.21531139903796,0.618279134532114,0.381720865467886
0.198915662650602,0.460515317426724,7202.0480841265,7.2020480841265,0.617142602730371,0.382857397269629
0.20285140562249,0.461226670582833,7188.68330805476,7.18868330805476,0.615997376734449,0.384002623265551
0.206787148594378,0.461942831993144,7175.21726161749,7.17521726161749,0.614843472893526,0.385156527106474
0.210722891566265,0.462663836998414,7161.65012719449,7.16165012719449,0.613680906835705,0.386319093164295
0.214658634538153,0.463389721708413,7147.98207872956,7.14798207872956,0.612509693466207,0.387490306533793
0.21859437751004,0.464120523014849,7134.21328170708,7.13421328170708,0.61132984696537,0.38867015303463
0.222530120481928,0.464856278604699,7120.343893126,7.120343893126,0.610141380786413,0.389858619213587
0.226465863453815,0.465597026973961,7106.37406147125,7.10637406147125,0.608944307652992,0.391055692347008
0.230401606425703,0.466342807441843,7092.30392668258,7.09230392668258,0.607738639556525,0.392261360443475
