P_N,a_hom_mm,a_fgm_mm,h_hom_mm,h_fgm_mm,p0_hom_MPa,p0_fgm_MPa,p0_hom_GPa,p0_fgm_GPa,severity_index,pressure_reduction_percent,a_over_D_hom,a_over_D_fgm
500,0.192802351304521,0.318581679020605,0.00780940056062014,0.0142433727690097,6422.24306873214,2741.85304803271,6.42224306873214,2.74185304803271,0.426930749691167,57.3069250308833,0.0202523478261051,0.0334644620819963
512.562814070352,0.194403773083719,0.320850416367387,0.00793966953554329,0.014446959701353,6475.58640117587,2771.13475290977,6.47558640117587,2.77113475290977,0.427935723690842,57.2064276309158,0.0204205643995503,0.033702774828507
525.125628140703,0.195979237026008,0.323079788671927,0.00806887843388575,0.0146484214715561,6528.06507851017,2800.00880936424,6.52806507851017,2.80000880936424,0.428918642153497,57.1081357846503,0.0205860543094546,0.0339369525915889
537.688442211055,0.197529770119492,0.32527139672474,0.0081970609419032,0.0148478303283406,6579.71330969143,2828.49044582677,6.57971330969143,2.82849044582677,0.429880499756823,57.0119500243177,0.0207489254327197,0.0341671635215063
550.251256281407,0.199056335845606,0.327426740624271,0.0083242489160249,0.0150452544410717,6630.56318827,2856.59398148657,6.63056318827,2.85659398148657,0.430822224353448,56.9177775646552,0.0209092789753787,0.0343935651916251
562.814070351759,0.200559839456817,0.329547228248376,0.00845047252162691,0.0152407582175818,6680.6448681903,2884.33289998123,6.6806448681903,2.88433289998123,0.431744682869598,56.8255317130402,0.0210672100269765,0.0346163054882748
575.376884422111,0.202041132708448,0.331634182841182,0.00857576035842702,0.015434402590719,6729.98672140776,2911.71991561145,6.72998672140776,2.91171991561145,0.432648686564182,56.7351313435818,0.0212228080576101,0.0348355234076872
587.939698492462,0.203501018111697,0.333688849824849,0.00870013957405405,0.0156262452773096,6778.61547955683,2938.76703298485,6.77861547955683,2.93876703298485,0.43353499572998,56.646500427002,0.0213761573646741,0.0350513497715178
600.502512562814,0.204940252765442,0.335712402930204,0.00882363596713517,0.0158163410127217,6826.55636158838,2965.4856008667,6.82655636158838,2.9654856008667,0.434404323906687,56.5595676093313,0.0215273374753616,0.0352639078708197
613.065326633166,0.206359551816434,0.337705949727084,0.00894627408106714,0.0160047417637898,6873.83318902859,2991.88636090909,6.87383318902859,2.99188636090909,0.435257341665562,56.4742658334438,0.0216764235101296,0.0354733140469626
625.628140703518,0.207759591590751,0.339670536624196,0.00906807728948644,0.0161914969224962,6920.4684902877,3017.97949184011,6.9204684902877,3.01797949184011,0.436094680017053,56.3905319982947,0.0218234865116335,0.0356796782168273
638.190954773869,0.209141012433683,0.341607153398934,0.00918906787432482,0.0163766534825004,6966.4835952566,3043.77464961822,6.9664835952566,3.04377464961822,0.436916933485739,56.3083066514261,0.021968593743034,0.0358831043486276
650.753768844221,0.210504421290379,0.343516737309685,0.00930926709722633,0.0165602562003406,7011.89872126785,3069.2810039921,7.01189872126785,3.0692810039921,0.437724662890899,56.2275337109101,0.0221118089590734,0.0360836908938745
663.316582914573,0.211850394055417,0.345400176836365,0.00942869526500741,0.0167423477429077,7056.73305136019,3094.50727185058,7.05673305136019,3.09450727185058,0.438518397866008,56.1481602133992,0.0222531926528799,0.0362815311802904
675.879396984925,0.21317947771598,0.347258315089166,0.00954737178976005,0.0169229688225985,7101.00480566745,3119.46174769966,7.10100480566745,3.11946174769966,0.439298639146104,56.0701360853896,0.0223928022810903,0.0364767137698704
688.442211055276,0.214492192310227,0.349091952920529,0.00966531524412762,0.0171021583213863,7144.73130665194,3144.15233156268,7.14473130665194,3.14415233156268,0.440065860648305,55.9934139351695,0.0225306924695617,0.0366693227857699
701.005025125628,0.215789032719867,0.35090185177109,0.00978254341222183,0.0172799534049022,7187.92903881501,3168.58655456437,7.18792903881501,3.16858655456437,0.440820511367588,55.9179488632412,0.0226669152016667,0.0368594382112489
713.56783919598,0.217070470313672,0.352688736276677,0.00989907333659642,0.0174563896274958,7230.61370344253,3192.7716024289,7.23061370344253,3.1927716024289,0.441563017107222,55.8436982892778,0.022801519990932,0.0370471361635165
