k,a_mm,a_over_D,is_valid
0.01,0.431498585402739,0.0453254816599516,1
0.0132775919732441,0.431922543617709,0.0453700150858938,1
0.0165551839464883,0.4323491664282,0.0454148284063236,1
0.0198327759197324,0.432778458149753,0.0454599220745539,1
0.0231103678929766,0.433210423331617,0.0455052965684472,1
0.0263879598662207,0.43364506675704,0.0455509523904453,1
0.0296655518394649,0.434082393443608,0.0455968900676059,1
0.032943143812709,0.434522408643658,0.0456431101516447,1
0.0362207357859532,0.434965117844738,0.0456896132189851,1
0.0394983277591973,0.435410526770147,0.0457363998708137,1
0.0427759197324415,0.435858641379516,0.0457834707331425,1
0.0460535117056856,0.436309467869472,0.0458308264568773,1
0.0493311036789298,0.436763012674349,0.0458784677178938,1
0.0526086956521739,0.437219282466969,0.0459263952171186,1
0.0558862876254181,0.437678284159485,0.0459746096806182,1
0.0591638795986622,0.438140024904288,0.0460231118596942,1
0.0624414715719064,0.438604512094976,0.0460719025309849,1
0.0657190635451505,0.439071753367388,0.0461209824965744,1
0.0689966555183947,0.439541756600702,0.0461703525841073,1
0.0722742474916388,0.440014529918601,0.0462200136469119,1
0.0755518394648829,0.440490081690504,0.0462699665641285,1
0.0788294314381271,0.440968420532857,0.0463202122408463,1
0.0821070234113712,0.4414495553105,0.0463707516082458,1
0.0853846153846154,0.441933495138098,0.0464215856237498,1
0.0886622073578595,0.442420249381635,0.0464727152711802,1
0.0919397993311037,0.442909827659987,0.046524141560923,1
0.0952173913043478,0.443402239846552,0.0465758655301,1
0.098494983277592,0.443897496070966,0.0466278882427485,1
0.101772575250836,0.444395606720871,0.0466802107900075,1
0.10505016722408,0.444896582443775,0.0467328342903125,1
0.108327759197324,0.445400434148969,0.0467857598895976,1
0.111605351170569,0.445907173009526,0.0468389887615049,1
0.114882943143813,0.446416810464374,0.0468925221076023,1
0.118160535117057,0.446929358220441,0.0469463611576093,1
0.121438127090301,0.447444828254882,0.0470005071696304,1
0.124715719063545,0.447963232817379,0.047054961430397,1
0.127993311036789,0.448484584432527,0.0471097252555176,1
0.131270903010033,0.449008895902292,0.0471647999897365,1
0.134548494983278,0.449536180308555,0.0472201870072011,1
0.137826086956522,0.45006645101574,0.0472758877117374,1
0.141103678929766,0.450599721673526,0.0473319035371351,1
0.14438127090301,0.451136006219639,0.0473882359474411,1
0.147658862876254,0.45167531888274,0.0474448864372626,1
0.150936454849498,0.452217674185394,0.0475018565320792,1
0.154214046822742,0.452763086947133,0.0475591477885644,1
0.157491638795987,0.453311572287613,0.0476167617949173,1
0.160769230769231,0.453863145629854,0.0476747001712032,1
0.164046822742475,0.454417822703593,0.0477329645697051,1
0.167324414715719,0.454975619548712,0.0477915566752848,1
0.170602006688963,0.455536552518786,0.0478504782057548,1
0.173879598662207,0.456100638284717,0.0479097309122602,1
0.177157190635452,0.456667893838477,0.047969316579672,1
0.180434782608696,0.457238336496956,0.0480292370269911,1
0.18371237458194,0.457811983905911,0.0480894941077638,1
0.186989966555184,0.458388854044036,0.048150089710508,1
0.190267558528428,0.45896896522713,0.0482110257591523,1
0.193545150501672,0.459552336112387,0.048272304213486,1
0.196822742474916,0.460138985702799,0.0483339270696218,1
0.200100334448161,0.460728933351683,0.0483958963604709,1
0.203377926421405,0.461322198767319,0.0484582141562309,1
0.206655518394649,0.461918802017721,0.0485208825648866,1
0.209933110367893,0.462518763535533,0.0485839037327241,1
0.213210702341137,0.463122104123053,0.0486472798448585,1
0.216488294314381,0.463728844957388,0.048711013125776,1
0.219765886287625,0.464339007595749,0.0487751058398896,1
0.22304347826087,0.464952613980881,0.0488395602921094,1
0.226321070234114,0.465569686446641,0.0489043788284287,1
0.229598662207358,0.46619024772371,0.0489695638365242,1
0.232876254180602,0.46681432094547,0.0490351177463729,1
0.236153846153846,0.467441929654016,0.049101043030884,1
