rho_r_over_a,pressure_GPa_k_0.1,pressure_GPa_k_0.3,pressure_GPa_k_0.497,pressure_GPa_k_0.7,pressure_GPa_k_0.9
0,7.50396754333147,6.82702515654499,5.90413263755258,4.63168114090202,2.72710709614216
0.00200400801603206,7.50395096835435,6.82700733505242,5.90411488964992,4.63166533000104,2.72709669155743
0.00400801603206413,7.50390124324326,6.82695387042442,5.90406164583437,4.63161789724094,2.72706547779072
0.00601202404809619,7.50381836745899,6.82686476221007,5.90397290578327,4.63153884245029,2.72701345480441
0.00801603206412826,7.50370234010286,6.82674000965781,5.90384866895879,4.63142816534332,2.72694062253582
0.0100200400801603,7.5035531599166,6.82657961171542,5.90368893460797,4.63128586551996,2.7268469808972
0.0120240480961924,7.50337082528233,6.82638356702993,5.90349370176262,4.63111194246581,2.72673252977571
0.0140280561122244,7.50315533422246,6.82615187394757,5.90326296923933,4.63090639555208,2.72659726903342
0.0160320641282565,7.50290668439955,6.82588453051366,5.90299673563937,4.63066922403562,2.72644119850733
0.0180360721442886,7.50262487311619,6.82558153447252,5.90269499934861,4.63040042705883,2.72626431800932
0.0200400801603206,7.50230989731484,6.82524288326736,5.90235775853749,4.63010000364966,2.72606662732619
0.0220440881763527,7.50196175357765,6.82486857404009,5.90198501116088,4.62976795272155,2.7258481262196
0.0240480961923848,7.50158043812628,6.82445860363124,5.90157675495801,4.62940427307336,2.7256088144261
0.0260521042084168,7.50116594682164,6.82401296857972,5.90113298745233,4.62900896338936,2.7253486916571
0.0280561122244489,7.50071827516369,6.82353166512267,5.90065370595139,4.62858202223913,2.72506775759887
0.030060120240481,7.50023741829114,6.82301468919524,5.90013890754672,4.6281234480775,2.72476601191251
0.032064128256513,7.4997233709812,6.82246203643038,5.89958858911368,4.62763323924451,2.72444345423394
0.0340681362725451,7.49917612764926,6.82187370215859,5.89900274731129,4.62711139396529,2.72410008417391
0.0360721442885772,7.49859568234855,6.82124968140769,5.89838137858206,4.62655791034999,2.72373590131794
0.0380761523046092,7.49798202876982,6.8205899689025,5.89772447915183,4.62597278639372,2.72335090522634
0.0400801603206413,7.49733516024094,6.81989455906463,5.89703204502958,4.62535601997642,2.72294509543418
0.0420841683366733,7.49665506972656,6.8191634460121,5.89630407200718,4.62470760886278,2.72251847145125
0.0440881763527054,7.49594174982763,6.81839662355905,5.89554055565925,4.62402755070214,2.72207103276207
0.0460921843687375,7.49519519278103,6.81759408521542,5.89474149134288,4.62331584302837,2.72160277882585
0.0480961923847695,7.49441539045905,6.81675582418658,5.89390687419744,4.62257248325976,2.72111370907648
0.0501002004008016,7.49360233436899,6.81588183337294,5.89303669914428,4.62179746869891,2.72060382292247
0.0521042084168337,7.4927560156526,6.8149721053696,5.89213096088652,4.62099079653258,2.720073119747
0.0541082164328657,7.4918764250856,6.81402663246592,5.89118965390878,4.62015246383158,2.71952159890779
0.0561122244488978,7.49096355307709,6.81304540664511,5.89021277247684,4.61928246755063,2.71894925973718
0.0581162324649299,7.49001738966904,6.81202841958378,5.88920031063744,4.61838080452822,2.71835610154202
0.0601202404809619,7.48903792453569,6.81097566265149,5.88815226221791,4.61744747148643,2.71774212360368
0.062124248496994,7.48802514698291,6.80988712691028,5.88706862082589,4.61648246503085,2.71710732517801
0.064128256513026,7.4869790459476,6.80876280311419,5.88594937984898,4.61548578165035,2.7164517054953
0.0661322645290581,7.48589960999703,6.80760268170872,5.88479453245443,4.61445741771694,2.71577526376028
0.0681362725450902,7.48478682732819,6.80640675283034,5.88360407158877,4.61339736948561,2.71507799915203
0.0701402805611222,7.48364068576703,6.80517500630593,5.88237798997749,4.61230563309415,2.71435991082401
0.0721442885771543,7.48246117276782,6.80390743165222,5.88111628012459,4.61118220456297,2.71362099790396
0.0741482965931864,7.48124827541232,6.80260401807522,5.87981893431228,4.61002707979489,2.71286125949392
0.0761523046092184,7.48000198040911,6.80126475446963,5.87848594460055,4.608840254575,2.71208069467014
0.0781563126252505,7.47872227409273,6.7998896294182,5.87711730282677,4.6076217245704,2.71127930248309
0.0801603206412826,7.4774091424229,6.79847863119114,5.87571300060526,4.60637148533005,2.71045708195736
0.0821643286573146,7.47606257098368,6.79703174774543,5.87427302932688,4.60508953228453,2.7096140320917
0.0841683366733467,7.4746825449826,6.79554896672419,5.87279738015855,4.60377586074582,2.7087501518589
0.0861723446893788,7.47326904924982,6.79403027545597,5.87128604404288,4.6024304659071,2.70786544020577
0.0881763527054108,7.47182206823718,6.79247566095407,5.86973901169759,4.60105334284252,2.70695989605311
0.0901803607214429,7.4703415860173,6.79088510991578,5.86815627361514,4.59964448650695,2.70603351829567
0.0921843687374749,7.4688275862826,6.78925860872171,5.86653782006216,4.59820389173577,2.70508630580205
0.094188376753507,7.46728005234438,6.78759614343494,5.864883641079,4.59673155324458,2.70411825741472
0.0961923847695391,7.46569896713176,6.78589769980034,5.86319372647919,4.59522746562902,2.70312937194992
0.0981963927855711,7.4640843131907,6.78416326324368,5.86146806584893,4.59369162336442,2.70211964819764
0.100200400801603,7.46243607268292,6.78239281887091,5.85970664854653,4.59212402080564,2.70108908492152
0.102204408817635,7.46075422738485,6.78058635146725,5.85790946370188,4.59052465218671,2.70003768085887
0.104208416833667,7.45903875868654,6.7787438454964,5.85607650021587,4.58889351162062,2.69896543472056
0.106212424849699,7.45728964759053,6.7768652850996,5.85420774675983,4.58723059309901,2.69787234519096
0.108216432865731,7.45550687471067,6.77495065409481,5.85230319177492,4.58553589049188,2.69675841092793
0.110220440881764,7.45369042027102,6.77299993597577,5.85036282347156,4.58380939754732,2.69562363056272
0.112224448897796,7.45184026410458,6.77101311391106,5.84838662982878,4.58205110789119,2.69446800269992
0.114228456913828,7.44995638565213,6.76899017074316,5.84637459859361,4.58026101502681,2.6932915259174
0.11623246492986,7.44803876396094,6.7669310889875,5.84432671728044,4.57843911233468,2.69209419876627
0.118236472945892,7.44608737768351,6.76483585083144,5.84224297317037,4.57658539307212,2.69087601977076
0.120240480961924,7.4441022050763,6.7627044381333,5.84012335331053,4.57469985037298,2.68963698742824
0.122244488977956,7.44208322399835,6.76053683242128,5.83796784451342,4.57278247724728,2.68837710020905
0.124248496993988,7.44003041190996,6.75833301489246,5.83577643335618,4.57083326658092,2.68709635655654
0.12625250501002,7.43794374587133,6.75609296641172,5.83354910617992,4.56885221113527,2.68579475488692
0.128256513026052,7.43582320254111,6.75381666751062,5.83128584908901,4.56683930354686,2.68447229358921
0.130260521042084,7.43366875817501,6.75150409838634,5.82898664795028,4.56479453632704,2.68312897102521
0.132264529058116,7.43148038862432,6.74915523890049,5.82665148839235,4.56271790186157,2.68176478552937
