E0_GPa_mm_minus_k,a_mm,p0_MPa,p0_GPa,pressure_severity_index,crack_suppression_indicator
42.6625,0.648369850396801,3971.83679977458,3.97183679977458,0.340346200358706,0.659653799641294
43.0051706827309,0.646888278224274,3990.05107818964,3.99005107818964,0.341906979606029,0.658093020393971
43.3478413654618,0.645421810007813,4008.20333264297,4.00820333264297,0.343462444027801,0.656537555972199
43.6905120481928,0.643970174183453,4026.2942621654,4.0262942621654,0.345012653523888,0.654987346476112
44.0331827309237,0.642533106151032,4044.3245524975,4.0443245524975,0.346557666855312,0.653442333144687
44.3758534136546,0.641110348043068,4062.29487644357,4.06229487644357,0.348097541674592,0.651902458325408
44.7185240963855,0.639701648503035,4080.20589421354,4.08020589421354,0.349632334555033,0.650367665444967
45.0611947791165,0.638306762472571,4098.05825375326,4.09805825375326,0.351162101019034,0.648837898980966
45.4038654618474,0.636925450987193,4115.85259106374,4.11585259106374,0.352686895565442,0.647313104434558
45.7465361445783,0.635557480980132,4133.58953050964,4.13358953050964,0.35420677169599,0.64579322830401
46.0892068273092,0.634202625093893,4151.26968511769,4.15126968511769,0.355721781940858,0.644278218059142
46.4318775100402,0.632860661499184,4168.89365686514,4.16889365686514,0.357231977883403,0.642768022116597
46.7745481927711,0.631531373720881,4186.46203695891,4.18646203695891,0.358737410184074,0.641262589815926
47.117218875502,0.630214550470696,4203.97540610567,4.20397540610567,0.360238128603551,0.639761871396449
47.4598895582329,0.628909985486251,4221.43433477321,4.22143433477321,0.361734182025149,0.638265817974851
47.8025602409639,0.627617477376264,4238.83938344349,4.23883938344349,0.363225618476497,0.636774381523503
48.1452309236948,0.626336829471576,4256.19110285766,4.25619110285766,0.364712485150535,0.635287514849465
48.4879016064257,0.625067849681752,4273.49003425339,4.27349003425339,0.366194828425852,0.633805171574148
48.8305722891566,0.623810350357028,4290.73670959473,4.29073670959473,0.367672693886382,0.632327306113618
49.1732429718876,0.622564148155337,4307.93165179495,4.30793165179495,0.369146126340495,0.630853873659505
49.5159136546185,0.621329063914229,4325.07537493232,4.32507537493232,0.370615169839497,0.629384830160503
49.8585843373494,0.620104922527445,4342.16838445952,4.34216838445952,0.372079867695564,0.627920132304436
50.2012550200803,0.618891552825958,4359.21117740652,4.35921117740652,0.373540262499133,0.626459737500867
50.5439257028113,0.617688787463293,4376.20424257738,4.37620424257738,0.374996396135761,0.625003603864239
50.8865963855422,0.616496462804927,4393.14806074117,4.39314806074117,0.376448309802491,0.623551690197509
51.2292670682731,0.615314418821621,4410.04310481722,4.41004310481722,0.377896044023722,0.622103955976278
51.571937751004,0.614142498986503,4426.88984005482,4.42688984005482,0.379339638666606,0.620660361333394
51.9146084337349,0.612980550175746,4443.68872420769,4.44368872420769,0.380779132956004,0.619220867043996
52.2572791164659,0.611828422572706,4460.44020770339,4.46044020770339,0.382214565488996,0.617785434511004
52.5999497991968,0.61068596957536,4477.14473380776,4.47714473380776,0.383645974248978,0.616354025751022
52.9426204819277,0.609553047706923,4493.80273878461,4.49380273878461,0.38507339661934,0.61492660338066
53.2852911646586,0.608429516529509,4510.41465205091,4.51041465205091,0.386496869396771,0.613503130603229
53.6279618473896,0.607315238560718,4526.98089632754,4.52698089632754,0.387916428804167,0.612083571195833
53.9706325301205,0.606210079193022,4543.50188778572,4.54350188778572,0.389332110503191,0.610667889496809
54.3133032128514,0.605113906615853,4559.9780361894,4.5599780361894,0.390743949606464,0.609256050393536
54.6559738955823,0.604026591740275,4576.40974503368,4.57640974503368,0.39215198068943,0.60784801931057
54.9986445783133,0.602948008126143,4592.79741167933,4.59279741167933,0.393556237801884,0.606443762198116
55.3413152610442,0.60187803191165,4609.14142748366,4.60914142748366,0.394956754479186,0.605043245520814
55.6839859437751,0.600816541745175,4625.44217792778,4.62544217792778,0.396353563753164,0.603646436246836
56.026656626506,0.599763418719336,4641.7000427404,4.6417000427404,0.397746698162724,0.602253301837276
56.369327309237,0.598718546307166,4657.91539601831,4.65791539601831,0.399136189764172,0.600863810235828
56.7119979919679,0.597681810300335,4674.08860634355,4.67408860634355,0.400522070141259,0.599477929858741
57.0546686746988,0.596653098749334,4690.22003689753,4.69022003689753,0.401904370414953,0.598095629585047
