k,E0_GPa_mm_minus_k,severity_index,p0_GPa,a_mm,a_over_D,is_valid
0.05,42.6625,0.415047299684057,4.84359789177837,0.548323137482587,0.0575969682229608,1
0.05,43.1991352201258,0.418463352300398,4.88346319210271,0.546080481054289,0.0573613950687279,1
0.05,43.7357704402516,0.421864826750925,4.92315836537586,0.543874515960276,0.0571296760462474,1
0.05,44.2724056603774,0.425251962993094,4.96268621189895,0.541704202632427,0.0569017019571878,1
0.05,44.8090408805031,0.428624994179631,5.002049452562,0.539568543103233,0.0566773679730286,1
0.05,45.3456761006289,0.431984146930528,5.04125073201808,0.537466578866511,0.0564565734103478,1
0.05,45.8823113207547,0.435329641591086,5.08029262169468,0.53539738887198,0.056239221520166,1
0.05,46.4189465408805,0.438661692476874,5.11917762265236,0.533360087643832,0.0560252192903184,1
0.05,46.9555817610063,0.441980508106404,5.15790816830013,0.531353823514313,0.0558144772599069,1
0.05,47.4922169811321,0.44528629142228,5.19648662697614,0.529377776964065,0.0556069093449648,1
0.05,48.0288522012579,0.448579240001507,5.23491530440211,0.527431159061628,0.0554024326745408,1
0.05,48.5654874213837,0.451859546255614,5.27319644601869,0.525513209995173,0.0552009674364677,1
0.05,49.1021226415094,0.455127397621188,5.31133223920897,0.523623197690035,0.0550024367321465,1
0.05,49.6387578616352,0.458382976741371,5.34932481541665,0.521760416506179,0.0548067664397247,1
0.05,50.175393081761,0.461626461638862,5.38717625216485,0.519924186010149,0.0546138850850997,1
0.05,50.7120283018868,0.464858025880879,5.42488857498129,0.518113849816513,0.054423723720222,1
0.05,51.2486635220126,0.468077838736561,5.46246375923517,0.516328774494166,0.0542362158082107,1
0.05,51.7852987421384,0.47128606532722,5.49990373189056,0.514568348533234,0.0540512971148355,1
0.05,52.3219339622642,0.47448286676984,5.53721037318107,0.512831981368629,0.0538689056059484,1
0.05,52.8585691823899,0.477668400314189,5.57438551820995,0.511119102456604,0.0536889813504836,1
0.05,53.3952044025157,0.480842819473904,5.61143095847981,0.509429160400921,0.0535114664286682,1
0.05,53.9318396226415,0.484006274151847,5.6483484433556,0.507761622125502,0.0533363048451158,1
0.05,54.4684748427673,0.487158910760069,5.68513968146449,0.50611597209066,0.0531634424464979,1
0.05,55.0051100628931,0.490300872334634,5.72180634203593,0.504491711550194,0.0529928268435078,1
0.05,55.5417452830189,0.493432298645586,5.75835005618497,0.502888357846866,0.0528244073368556,1
0.05,56.0783805031447,0.496553326302316,5.79477241814186,0.501305443743902,0.0526581348470485,1
0.05,56.6150157232704,0.499664088854548,5.83107498643055,0.499742516790371,0.0524939618477281,1
0.05,57.1516509433962,0.502764716889175,5.86725928499878,0.498199138718412,0.0523318423023542,1
0.05,57.688286163522,0.50585533812315,5.90332680430215,0.496674884870421,0.0521717316040359,1
0.05,58.2249213836478,0.508936077492633,5.93927900234441,0.495169343654472,0.0520135865183269,1
0.05,58.7615566037736,0.512007057238567,5.97511730567616,0.493682116026299,0.0518573651288129,1
0.05,59.2981918238994,0.515068396988874,6.01084311035406,0.492212814996343,0.0517030267853301,1
0.05,59.8348270440252,0.518120213837412,6.0464577828623,0.490761065160422,0.0515505320546662,1
0.05,60.3714622641509,0.521162622419873,6.08196266099824,0.489326502252698,0.0513998426736028,1
0.05,60.9080974842767,0.524195734986743,6.11735905472397,0.487908772719688,0.0512509215041689,1
0.05,61.4447327044025,0.527219661473481,6.1526482469852,0.486507533314155,0.0511037324909827,1
0.05,61.9813679245283,0.530234509568037,6.18783149449925,0.485122450707793,0.0509582406205665,1
0.05,62.5180031446541,0.533240384775833,6.22291002851337,0.483753201121674,0.0508144118825288,1
0.05,63.0546383647799,0.536237390482328,6.25788505553481,0.482399469973494,0.0506722132325099,1
0.05,63.5912735849057,0.539225628013266,6.29275775803402,0.481060951540738,0.0505316125568002,1
0.05,64.1279088050315,0.542205196692725,6.32752929512201,0.479737348638892,0.050392578638539,1
0.05,64.6645440251572,0.545176193899057,6.3622008032032,0.478428372313931,0.0502550811254129,1
0.05,65.201179245283,0.548138715118812,6.39677339660467,0.477133741548328,0.050119090498774,1
0.05,65.7378144654088,0.55109285399874,6.43124816818307,0.475853182979883,0.0499845780441054,1
0.05,66.2744496855346,0.554038702395946,6.46562618990991,0.474586430632715,0.0498515158227642,1
0.05,66.8110849056604,0.556976350426289,6.49990851343637,0.473333225659803,0.0497198766449373,1
0.05,67.3477201257862,0.55990588651109,6.53409617063842,0.472093316096476,0.0495896340437474,1
0.05,67.884355345912,0.562827397422231,6.56819017414303,0.470866456624325,0.0494607622504543,1
0.05,68.4209905660377,0.565740968325697,6.60219151783643,0.469652408345,0.0493332361706933,1
0.05,68.9576257861635,0.568646682823647,6.63610117735499,0.468450938563411,0.0492070313617029,1
0.05,69.4942610062893,0.571544622995061,6.66992011055958,0.467261820579873,0.0490821240104909,1
0.05,70.0308962264151,0.574434869435022,6.70364925799403,0.466084833490759,0.0489584909128948,1
0.05,70.5675314465409,0.577317501292693,6.7372895433283,0.464919761997251,0.0488361094534928,1
0.05,71.1041666666667,0.580192596308048,6.7708418737871,0.463766396221803,0.0487149575863238,1
0.05,71.6408018867925,0.583060230847389,6.80430714056444,0.462624531531937,0.04859501381638,1
0.05,72.1774371069182,0.585920479937716,6.83768621922467,0.461493968371056,0.0484762571818336,1
0.05,72.714072327044,0.588773417299987,6.87097997009064,0.460374512095904,0.0483586672369647,1
0.05,73.2507075471698,0.591619115381315,6.90418923861943,0.459265972820404,0.0482422240357567,1
0.05,73.7873427672956,0.594457645386133,6.93731485576608,0.458168165265548,0.048126908116129,1
0.05,74.3239779874214,0.597289077306386,6.9703576383359,0.45708090861509,0.0480127004847784,1
0.05,74.8606132075472,0.600113479950771,7.00331838932571,0.456004026376749,0.0478995826025997,1
0.05,75.397248427673,0.602930920973072,7.03619789825448,0.454937346248699,0.0477875363706616,1
0.05,75.9338836477988,0.605741466899611,7.06899694148376,0.453880699991092,0.0476765441167113,1
0.05,76.4705188679245,0.608545183155871,7.10171628252826,0.4528339233024,0.0475665885821849,1
0.05,77.0071540880503,0.611342134092293,7.13435667235703,0.451796855700356,0.0474576529097013,1
0.05,77.5437893081761,0.614132383009308,7.16691884968544,0.450769340407298,0.0473497206310187,1
0.05,78.0804245283019,0.616915992181604,7.19940354125849,0.449751224239715,0.0472427756554323,1
0.05,78.6170597484277,0.619693022881676,7.23181146212562,0.448742357501831,0.0471368022585957,1
0.05,79.1536949685535,0.622463535402682,7.26414331590735,0.447742593883028,0.0470317850717466,1
0.05,79.6903301886793,0.625227589080617,7.29639979505419,0.446751790358966,0.04692770907132,1
0.05,80.226965408805,0.627985242315848,7.32858158109782,0.445769807096237,0.0468245595689325,1
0.05,80.7636006289308,0.630736552594015,7.36068934489511,0.444796507360393,0.0467223222017219,1
0.05,81.3002358490566,0.633481576506342,7.39272374686508,0.443831757427221,0.0466209829230274,1
0.05,81.8368710691824,0.636220369769353,7.424685437219,0.442875426497128,0.0465205279933958,1
0.05,82.3735062893082,0.638952987244033,7.45657505618405,0.441927386612497,0.046420943971901,1
0.05,82.910141509434,0.641679482954451,7.48839323422057,0.440987512577907,0.0463222177077633,1
0.05,83.4467767295598,0.644399910105851,7.52014059223323,0.440055681883081,0.0462243363322564,1
0.05,83.9834119496855,0.647114321102247,7.55181774177636,0.439131774628477,0.0461272872508904,1
0.05,84.5200471698113,0.649822767563523,7.5834252852535,0.438215673453392,0.0460310581358605,1
0.05,85.0566823899371,0.652525300342068,7.61496381611152,0.437307263466489,0.0459356369187488,1
0.05,85.5933176100629,0.655221969538951,7.64643391902939,0.436406432178653,0.0458410117834719,1
0.05,86.1299528301887,0.657912824519655,7.67783617010185,0.435513069438078,0.045747171159462,1
