r_mm,pressure_MPa,pressure_GPa
0,11669.9901323666,11.6699901323666
0.000878057952135091,11669.9534805603,11.6699534805603
0.00175611590427018,11669.8435244504,11.6698435244504
0.00263417385640527,11669.660261965,11.669660261965
0.00351223180854037,11669.4036896503,11.6694036896503
0.00439028976067546,11669.0738026706,11.6690738026706
0.00526834771281055,11668.6705948079,11.6686705948079
0.00614640566494564,11668.1940584611,11.6681940584611
0.00702446361708073,11667.6441846454,11.6676441846454
0.00790252156921582,11667.0209629915,11.6670209629915
0.00878057952135091,11666.3243817446,11.6663243817446
0.00965863747348601,11665.5544277632,11.6655544277632
0.0105366954256211,11664.7110865178,11.6647110865178
0.0114147533777562,11663.79434209,11.66379434209
0.0122928113298913,11662.8041771703,11.6628041771703
0.0131708692820264,11661.7405730569,11.6617405730569
0.0140489272341615,11660.6035096539,11.6606035096539
0.0149269851862966,11659.3929654693,11.6593929654693
0.0158050431384316,11658.108917613,11.6581089176131
0.0166831010905667,11656.7513417948,11.6567513417948
0.0175611590427018,11655.3202123215,11.6553202123215
0.0184392169948369,11653.8155020953,11.6538155020953
0.019317274946972,11652.2371826107,11.6522371826107
0.0201953328991071,11650.5852239518,11.6505852239518
0.0210733908512422,11648.8595947897,11.6488595947897
0.0219514488033773,11647.0602623793,11.6470602623793
0.0228295067555124,11645.1871925563,11.6451871925563
0.0237075647076475,11643.2403497339,11.6432403497339
0.0245856226597826,11641.2196968993,11.6412196968993
0.0254636806119176,11639.1251956104,11.6391251956104
0.0263417385640527,11636.9568059918,11.6369568059918
0.0272197965161878,11634.7144867313,11.6347144867313
0.0280978544683229,11632.3981950759,11.6323981950759
0.028975912420458,11630.0078868273,11.6300078868273
0.0298539703725931,11627.5435163381,11.6275435163381
0.0307320283247282,11625.0050365072,11.6250050365072
0.0316100862768633,11622.3923987754,11.6223923987754
0.0324881442289984,11619.7055531203,11.6197055531203
0.0333662021811335,11616.9444480522,11.6169444480522
0.0342442601332686,11614.1090306083,11.6141090306083
0.0351223180854037,11611.1992463481,11.6111992463481
0.0360003760375387,11608.2150393479,11.6082150393479
0.0368784339896738,11605.1563521955,11.6051563521955
0.0377564919418089,11602.0231259843,11.6020231259843
0.038634549893944,11598.8153003078,11.5988153003078
0.0395126078460791,11595.5328132539,11.5955328132539
0.0403906657982142,11592.1756013982,11.5921756013982
0.0412687237503493,11588.7435997983,11.5887435997983
0.0421467817024844,11585.2367419873,11.5852367419873
0.0430248396546195,11581.6549599671,11.5816549599671
0.0439028976067546,11577.9981842017,11.5779981842017
0.0447809555588897,11574.2663436106,11.5742663436106
0.0456590135110247,11570.4593655614,11.5704593655614
0.0465370714631598,11566.5771758628,11.5665771758628
0.0474151294152949,11562.6196987569,11.5626196987569
0.04829318736743,11558.5868569123,11.5585868569123
0.0491712453195651,11554.4785714155,11.5544785714155
0.0500493032717002,11550.2947617637,11.5502947617637
0.0509273612238353,11546.0353458563,11.5460353458563
0.0518054191759704,11541.7002399868,11.5417002399868
0.0526834771281055,11537.2893588342,11.5372893588342
0.0535615350802406,11532.8026154547,11.5328026154547
0.0544395930323757,11528.2399212725,11.5282399212725
0.0553176509845108,11523.6011860708,11.5236011860708
0.0561957089366458,11518.886317983,11.518886317983
0.0570737668887809,11514.0952234828,11.5140952234828
0.057951824840916,11509.2278073751,11.5092278073751
0.0588298827930511,11504.2839727856,11.5042839727856
0.0597079407451862,11499.2636211516,11.4992636211516
0.0605859986973213,11494.166652211,11.494166652211
0.0614640566494564,11488.9929639925,11.4889929639925
0.0623421146015915,11483.7424528047,11.4837424528047
0.0632201725537266,11478.4150132255,11.4784150132255
0.0640982305058617,11473.0105380909,11.4730105380909
0.0649762884579968,11467.5289184836,11.4675289184836
0.0658543464101319,11461.9700437221,11.4619700437221
0.0667324043622669,11456.3338013484,11.4563338013484
0.067610462314402,11450.6200771166,11.4506200771166
0.0684885202665371,11444.8287549803,11.4448287549803
0.0693665782186722,11438.9597170807,11.4389597170807
