k,a_mm,h_mm,p0_MPa,p0_GPa,severity_index
0.01,0.431498585402739,0.0387284776613206,7718.78829103427,7.71878829103427,0.661422006658452
0.0149246231155779,0.432136593608843,0.0386546145172103,7708.60436604032,7.70860436604032,0.660549347394953
0.0198492462311558,0.432780622141669,0.0385827058382189,7698.23271756957,7.69823271756957,0.659660602130123
0.0247738693467337,0.433430686237084,0.0385127309241246,7687.67452092731,7.68767452092731,0.658755871575726
0.0296984924623116,0.434086802323592,0.0384446697426425,7676.93092725082,7.67693092725082,0.657835254372573
0.0346231155778894,0.434748988025093,0.0383785029159933,7666.00306375084,7.66600306375084,0.65689884711121
0.0395477386934673,0.435417262164354,0.0383142117080284,7654.89203394467,7.65489203394467,0.655946744351898
0.0444723618090452,0.436091644767196,0.0382517780118944,7643.59891788098,7.64359891788098,0.654979038643872
0.0493969849246231,0.43677215706739,0.0381911843382225,7632.12477235634,7.63212477235634,0.6539958205439
0.054321608040201,0.437458821512271,0.0381324138038278,7620.47063112356,7.62047063112356,0.65299717863413
0.0592462311557789,0.438151661769086,0.0380754501209051,7608.63750509188,7.60863750509188,0.65198319953925
0.0641708542713568,0.438850702732063,0.0380202775867078,7596.62638251912,7.59662638251912,0.650953967942948
0.0690954773869347,0.439555970530216,0.0379668810736981,7584.43822919571,7.58443822919571,0.649909566603687
0.0740201005025126,0.440267492535906,0.0379152460201564,7572.07398862078,7.57207398862078,0.648850076369789
0.0789447236180904,0.440985297374142,0.0378653584212397,7559.53458217031,7.55953458217031,0.647775576193847
0.0838693467336683,0.441709414932652,0.0378172048204775,7546.8209092572,7.5468209092572,0.64668614314644
0.0887939698492462,0.442439876372725,0.0377707723016974,7533.93384748361,7.53393384748361,0.645581852429189
0.0937185929648241,0.443176714140838,0.0377260484813693,7520.87425278528,7.52087425278528,0.644462777387119
0.098643216080402,0.443919961981078,0.0376830215013614,7507.64295956802,7.50764295956802,0.643328989520361
0.10356783919598,0.444669654948374,0.0376416800220993,7494.24078083632,7.49424078083632,0.642180558495169
0.108492462311558,0.445425829422557,0.0376020132161208,7480.66850831414,7.48066850831414,0.641017552154269
0.113417085427136,0.446188523123253,0.0375640107620209,7466.92691255772,7.46692691255772,0.639840036526531
