k,a_mm,h_mm,p0_MPa,p0_GPa
0.1,0.444125865286514,0.0376714637541052,7503.96754333147,7.50396754333147
0.3,0.480409859108633,0.0372969671507396,6827.02515654499,6.82702515654499
0.497,0.531790355344176,0.0396873553882393,5904.13263755258,5.90413263755258
0.7,0.617592805888403,0.0471355504059702,4631.68114090202,4.63168114090202
0.9,0.826326917301116,0.0754993558443571,2727.10709614216,2.72710709614216
